2018-05-03 16:11:16,295[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=315385, open=37441, metric=0, events1=0, events2=0, pushers=3981368, create=315385, release=0, error=0, push_count=4026341, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:34.169, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:417 ms.
2018-05-03 16:12:15,893[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37589, open=37441, metric=1, events1=0, events2=0, pushers=78, create=37589, release=0, error=0, push_count=44493, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:09:10.045, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:15 ms.
2018-05-03 16:12:16,088[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=0, events2=0, pushers=81234, create=44307, release=108, error=13307, push_count=230737, unhosted_size=0, unhosted_count=0, fromproxy_count=79908, clock=2018-02-24 14:06:58.083, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:210 ms.
2018-05-03 16:12:16,404[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=316478, open=37441, metric=0, events1=0, events2=0, pushers=4247314, create=316491, release=0, error=0, push_count=4292939, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:34.008, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:526 ms.
2018-05-03 16:13:15,893[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37589, open=37441, metric=1, events1=0, events2=0, pushers=78, create=37589, release=0, error=0, push_count=44493, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:10:10.048, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:15 ms.
2018-05-03 16:13:16,121[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=0, events2=0, pushers=82697, create=44307, release=108, error=14215, push_count=233643, unhosted_size=0, unhosted_count=0, fromproxy_count=81361, clock=2018-02-24 14:06:58.154, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:243 ms.
2018-05-03 16:13:16,482[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=317338, open=37441, metric=0, events1=0, events2=0, pushers=4468919, create=317338, release=0, error=0, push_count=4514016, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:34.21, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:604 ms.
2018-05-03 16:14:15,893[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37589, open=37441, metric=1, events1=0, events2=0, pushers=78, create=37589, release=0, error=0, push_count=44493, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:11:10.051, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:15 ms.
2018-05-03 16:14:16,114[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=1, events2=0, pushers=84508, create=44307, release=108, error=15506, push_count=237266, unhosted_size=0, unhosted_count=0, fromproxy_count=83173, clock=2018-02-24 14:06:58.173, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:236 ms.
2018-05-03 16:14:16,551[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=318032, open=37441, metric=0, events1=0, events2=0, pushers=4701968, create=318032, release=0, error=0, push_count=4746651, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:34.421, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:673 ms.
2018-05-03 16:15:15,893[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37589, open=37441, metric=1, events1=0, events2=0, pushers=78, create=37589, release=0, error=0, push_count=44493, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:12:10.05, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:15 ms.
2018-05-03 16:15:16,118[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=0, events2=0, pushers=85998, create=44307, release=108, error=15474, push_count=240245, unhosted_size=0, unhosted_count=0, fromproxy_count=84662, clock=2018-02-24 14:06:58.506, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:240 ms.
2018-05-03 16:15:16,657[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=319119, open=37441, metric=0, events1=0, events2=0, pushers=4954764, create=319140, release=0, error=0, push_count=5001072, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:33.967, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:779 ms.
2018-05-03 16:16:15,893[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37589, open=37441, metric=1, events1=0, events2=0, pushers=78, create=37589, release=0, error=0, push_count=44493, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:13:10.053, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:15 ms.
2018-05-03 16:16:16,117[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=3, events2=0, pushers=87288, create=44307, release=108, error=15579, push_count=242840, unhosted_size=0, unhosted_count=0, fromproxy_count=85961, clock=2018-02-24 14:06:58.043, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:239 ms.
2018-05-03 16:16:16,704[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=320372, open=37441, metric=0, events1=0, events2=0, pushers=5188668, create=320386, release=0, error=0, push_count=5234700, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:34.129, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:826 ms.
2018-05-03 16:17:15,893[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37589, open=37441, metric=1, events1=0, events2=0, pushers=78, create=37589, release=0, error=0, push_count=44493, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:14:10.044, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:15 ms.
2018-05-03 16:17:16,123[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=44199, open=44199, metric=0, events1=0, events2=0, pushers=88266, create=44307, release=108, error=15707, push_count=244783, unhosted_size=0, unhosted_count=0, fromproxy_count=86931, clock=2018-02-24 14:06:58.073, expired=0, min-time=2018-02-24 14:00:00.003, time-escaped:244 ms.
2018-05-03 16:17:16,728[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=321498, open=37441, metric=0, events1=0, events2=0, pushers=5424895, create=321506, release=0, error=0, push_count=5470358, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:34.482, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:850 ms.
2018-05-03 16:18:15,893[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37589, open=37441, metric=1, events1=0, events2=0, pushers=78, create=37589, release=0, error=0, push_count=44493, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:15:10.051, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:14 ms.
2018-05-03 16:18:16,109[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdrops1mme, size=47008, open=44199, metric=0, events1=1, events2=0, pushers=94827, create=47116, release=108, error=14269, push_count=254089, unhosted_size=0, unhosted_count=0, fromproxy_count=89676, clock=2018-02-24 14:07:38.114, expired=5, min-time=2018-02-24 12:06:52.417, time-escaped:230 ms.
2018-05-03 16:18:16,774[DEBUG] StateMachine Broadcast: Process timer message for machine proxy_s1mme_imsi, size=322322, open=37441, metric=0, events1=0, events2=0, pushers=5671381, create=322329, release=0, error=0, push_count=5717846, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:34.068, expired=0, min-time=2018-02-24 14:00:00.0, time-escaped:895 ms.
2018-05-03 16:19:15,894[DEBUG] StateMachine Broadcast: Process timer message for machine bigxdrdropproxyimsi, size=37599, open=37441, metric=1, events1=0, events2=0, pushers=89, create=37599, release=0, error=0, push_count=44504, unhosted_size=0, unhosted_count=0, fromproxy_count=0, clock=2018-02-24 14:08:11.369, expired=0, min-time=2018-02-24 14:00:01.014, time-escaped:15 ms.
